feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
Xkr4,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm1992,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm19938,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm37381,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Rp1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Sox17,Null,0.003444142855661727,0.002615859929621551,118582,0.503084298502397,0.17986202664536366,1,0.823045267489712,0.2061855670103093,Recruited macrophage,-0,FALSE
Gm37587,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm37323,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mrpl15,Null,0.3528579232334902,-0.01139581983645882,115047.5,0.48808917737898266,0.4974518202493836,1,51.85185185185185,54.22680412371134,Recruited macrophage,-0,FALSE
Lypla1,Null,0.22692245046523996,0.009871158645961803,119512,0.507029824784693,0.6630187130961659,1,37.86008230452675,37.31958762886598,Recruited macrophage,-0,FALSE
Tcea1,Null,0.5871445956805176,0.03859931627600066,123590,0.5243307454074922,0.18386550339586794,1,70.37037037037037,71.34020618556701,Recruited macrophage,-0,FALSE
Rgs20,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm16041,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Atp6v1h,Null,0.32319763262092993,-0.008563817263678442,115318.5,0.48923889525264097,0.5374709994646183,1,49.17695473251029,53.81443298969072,Recruited macrophage,-0,FALSE
Oprk1,Null,0.001124701558479098,0.001124701558479098,118097.5,0.5010288065843621,0.31880774568515696,1,0.205761316872428,0,Recruited macrophage,-0,FALSE
Npbwr1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Rb1cc1,Null,0.26105386719555396,-0.012111107065845839,115335.5,0.48931101777608077,0.5197301331977985,1,40.32921810699588,43.09278350515464,Recruited macrophage,-0,FALSE
4732440D04Rik,Null,0.03512953089417082,-0.015050974716138907,114674.5,0.4865067243646854,0.10686384174392098,1,5.967078189300412,8.65979381443299,Recruited macrophage,-0,FALSE
Alkal1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
St18,Null,0.002039241467724801,0.002039241467724801,118340,0.5020576131687243,0.15794151163894443,1,0.411522633744856,0,Recruited macrophage,-0,FALSE
Pcmtd1,Null,0.37268258824240763,-0.03315736160562571,113413,0.48115480887531287,0.28564629230600885,1,52.2633744855967,56.90721649484536,Recruited macrophage,-0,FALSE
Gm26901,Null,7.504957158057526e-4,-0.009161979143138805,116637.5,0.4948347545712952,0.05733408392947803,0.8475416207249076,0.205761316872428,1.2371134020618557,Recruited macrophage,0.07183896544661818,FALSE
Gm30414,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Sntg1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Rrs1,Null,0.13415503884254243,0.014210318594806301,119506.5,0.5070064910271096,0.6080725592981285,1,23.456790123456788,22.474226804123713,Recruited macrophage,-0,FALSE
Adhfe1,Null,0.019699787485890085,-0.0053705023878150085,117081,0.49671630393279875,0.61945191682083,1,4.11522633744856,4.742268041237113,Recruited macrophage,-0,FALSE
2610203C22Rik,Null,0.010385967181514471,-0.010303486490126681,115441,0.48975860167154556,0.04824170653039297,0.7869736123830007,1.646090534979424,3.711340206185567,Recruited macrophage,0.10403982950698491,FALSE
Vxn,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm29520,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mybl1,Null,7.09565977239958e-4,-0.002763990637328782,117367,0.4979296593271393,0.3145725616968284,1,0.205761316872428,0.6185567010309279,Recruited macrophage,-0,FALSE
Vcpip1,Null,0.23245774982468148,-0.005759867038166833,114981,0.4878070510372916,0.45390845583707295,1,37.03703703703704,40.618556701030926,Recruited macrophage,-0,FALSE
1700034P13Rik,Null,0.0014733732681614594,1.6643965456943142e-4,117855,0.5,1,1,0.205761316872428,0.2061855670103093,Recruited macrophage,-0,FALSE
Sgk3,Null,0.24601833926955755,0.011167335729565908,116944.5,0.4961372024945908,0.8115389262639484,1,36.62551440329218,39.58762886597938,Recruited macrophage,-0,FALSE
Mcmdc2,Null,0.005958353479801111,-8.227295302407874e-4,117613,0.49897331466632727,0.7391430975817452,1,0.823045267489712,1.0309278350515463,Recruited macrophage,-0,FALSE
Snhg6,Null,0.3257653596135279,0.03609025671006799,122631,0.5202621865852106,0.2310492589718778,1,45.884773662551446,43.91752577319588,Recruited macrophage,-0,FALSE
Tcf24,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Ppp1r42,Null,0,-5.896065790477242e-4,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Gm15818,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Cops5,Null,0.3416029359583868,-0.016297682295517868,113091.5,0.47979084468202454,0.24776093278408806,1,48.76543209876543,55.25773195876289,Recruited macrophage,-0,FALSE
Cspp1,Null,0.16596490908445719,0.003239764329170808,117567.5,0.4987802808535913,0.9338038380782714,1,27.36625514403292,28.45360824742268,Recruited macrophage,-0,FALSE
Arfgef1,Null,0.41292570825882574,0.03554622748132419,122958,0.5216494845360825,0.22290045520112503,1,57.407407407407405,55.670103092783506,Recruited macrophage,-0,FALSE
Cpa6,Null,0.0020115463235363925,0.0011514864302702504,117855,0.5,1,1,0.205761316872428,0.2061855670103093,Recruited macrophage,-0,FALSE
Prex2,Null,0.006999955491636111,-0.003498954683404618,116879,0.49585931865427857,0.311324092610715,1,1.2345679012345678,2.0618556701030926,Recruited macrophage,-0,FALSE
A830018L16Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm17644,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm29663,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Sulf1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Slco5a1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm29283,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Prdm14,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Ncoa2,Null,0.11488854998885352,-0.028110071227872388,112403.5,0.4768720037334012,0.0898788646668119,1,20.5761316872428,25.15463917525773,Recruited macrophage,-0,FALSE
