gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,padj,neglogp,sig
Lgalsl,0.6674991873400993,2.968734863759183e-4,0.02,0.024,1,0.8743887756444737,0.058295425974816885,FALSE
Stxbp2,0.6675077966065304,0.012936989735956694,0.563,0.534,1,0.8743887756444737,0.058295425974816885,FALSE
Clic1,0.6675869024760783,-0.03038572013121943,0.974,0.984,1,0.8743887756444737,0.058295425974816885,FALSE
Dbf4,0.6676069413374284,0.004279313527253623,0.14,0.128,1,0.8743887756444737,0.058295425974816885,FALSE
Auh,0.6676625100880267,-0.0010664764664309045,0.262,0.247,1,0.8743932333850695,0.0582932118942368,FALSE
Tfpi,0.6677480688555184,0.010095062473597788,0.15,0.14,1,0.8744369632934531,0.05827149262389806,FALSE
Spidr,0.6679960804951528,-0.008636709076987215,0.116,0.125,1,0.8746934068635068,0.05814414702394499,FALSE
Gm17435,0.6681175913774275,0.01199143832455829,0.02,0.024,1,0.8747158530554121,0.05813300239643206,FALSE
Gm11713,0.6681175913774275,9.718266907717743e-11,0.024,0.02,1,0.8747158530554121,0.05813300239643206,FALSE
Uhmk1,0.6681822820976081,-0.03858915107137939,0.358,0.326,1,0.8747322252827325,0.05812487369793568,FALSE
Bora,0.6683626525189261,-0.001270684233578026,0.047,0.053,1,0.874860399770463,0.058061241201953905,FALSE
Prrc2c,0.6683845769872658,-0.02377338752856195,0.817,0.802,1,0.874860399770463,0.058061241201953905,FALSE
Slc31a2,0.668520124621552,0.05284368980516785,0.683,0.664,1,0.8749694955029635,0.05800708773845036,FALSE
Pno1,0.6687463622181065,-0.016277097297687837,0.407,0.393,1,0.8751949553101296,0.0578951943096479,FALSE
Dcaf1,0.6688236143169026,0.0020253660073565327,0.12,0.111,1,0.8751949553101296,0.0578951943096479,FALSE
Ahsa1,0.668850333377371,-0.029359095730746687,0.571,0.569,1,0.8751949553101296,0.0578951943096479,FALSE
Dnajb5,0.6689090463573658,-0.01558076246531654,0.043,0.038,1,0.8751949553101296,0.0578951943096479,FALSE
Gm41764,0.6689534522988534,0.00898038861498954,0.026,0.022,1,0.8751949553101296,0.0578951943096479,FALSE
