gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,padj,neglogp,sig
Rsrp1,3.280022720884844e-36,-0.520109335138339,0.898,0.958,1.058955335437672e-31,5.497974084747175e-32,31.259797311578367,TRUE
Rbm3,1.488734860218121e-30,-0.5002051986669813,0.882,0.949,4.806380496214204e-26,1.2477086863488073e-26,25.903886801415986,TRUE
Hspa1a,2.1086874105897855e-29,-0.7658696125703461,0.073,0.36,6.807897305089123e-25,1.1781939458768661e-25,24.928783213206735,TRUE
Hspa1b,3.3794444117786714e-27,-0.5147734506517864,0.085,0.366,1.0910536283427441e-22,1.4161561807558523e-23,22.84888884784676,TRUE
Rps3a1,2.1205675930149132e-23,-0.28625479582729607,1,1,6.846252474048648e-19,7.108990798823195e-20,19.14819204787936,TRUE
Dnaja1,9.489614926996586e-20,-0.5037488126973353,0.799,0.893,3.0637221791808476e-15,2.6510820901052793e-16,15.576576824236817,TRUE
Hspa8,1.0778640794562146e-18,-0.4707186816796174,0.992,0.994,3.479884180524389e-14,2.5810225285492957e-15,14.588208204684358,TRUE
Hexa,1.7279315080218094e-16,0.4187322109178435,0.963,0.911,5.578626873648412e-12,3.620448492182696e-13,12.441237626810665,TRUE
C3ar1,7.969477349264214e-15,0.4795440098654675,0.656,0.419,2.5729457622099516e-10,1.4842708814262972e-11,10.8284868324983,TRUE
Sod2,4.9075707634008324e-14,-0.5861205017977786,0.886,0.925,1.5844092209639588e-9,8.226070113612475e-11,10.084807593170481,TRUE
Ide,6.433006754863781e-14,0.2556639218990831,0.472,0.255,2.0768962308077717e-9,9.802732656820608e-11,10.008652841414973,TRUE
Prdx5,8.039192229073906e-14,-0.6497861570807553,0.974,0.972,2.5954532111565104e-9,1.1229411678644734e-10,9.949642996312999,TRUE
Ms4a7,1.0348422911659177e-13,0.5442538736838354,0.872,0.68,3.3409883370291652e-9,1.29305800831599e-10,9.888381991649814,TRUE
Srsf5,1.0799911774504153e-13,0.2754154117859664,0.89,0.775,3.486751516398666e-9,1.29305800831599e-10,9.888381991649814,TRUE
Itgb5,1.4691967378798654e-13,0.38268251991011826,0.756,0.567,4.743301668245145e-9,1.6417783813561536e-10,9.784685467344417,TRUE
Lgmn,3.550329682631985e-13,0.4878649698748294,0.902,0.773,1.1462239380377364e-8,3.7194141337673333e-10,9.42952546294336,TRUE
Ifi47,9.824837033075875e-13,-0.5196022927272579,0.829,0.883,3.171948636128546e-8,9.687289314612814e-10,9.01379772969813,TRUE
Ctsb,2.0657698501028425e-12,0.3902445199893023,0.992,0.978,6.669337961057027e-8,1.923690790412436e-9,8.71586473417431,TRUE
Ly6i,3.0579558699413657e-12,-0.6391638928152252,0.711,0.83,9.872610526105699e-8,2.69776085747143e-9,8.568996550914544,TRUE
Mcemp1,4.7219757868346575e-11,-0.44847506270683657,0.569,0.704,1.5244898827795692e-6,3.957487906946127e-8,7.402580403554574,TRUE
Cebpb,5.692394925295027e-11,-0.4469320840141626,0.933,0.945,1.8377897016314995e-6,4.543615416085487e-8,7.342598435602567,TRUE
Zbp1,1.9388168466213249e-10,-0.5098148720364908,0.833,0.891,6.259470189316947e-6,1.4772021810484838e-7,6.8305600597967,TRUE
Igtp,2.0747095345416888e-10,-0.4166379790854411,0.75,0.824,6.698199732267842e-6,1.5120122268690342e-7,6.820444696903408,TRUE
Tspo,9.912641792011716e-10,-0.283954594348069,0.972,0.982,3.200296402550983e-5,6.923154238237516e-7,6.159695992804383,TRUE
Ly6c2,1.2041476634694783e-9,-0.8688067829486312,0.419,0.571,3.887590731511211e-5,8.073569254030159e-7,6.092934425050558,TRUE
Psmb10,1.4669724096500936e-9,-0.30984774325186404,0.949,0.966,4.736120424555327e-5,9.457458280982643e-7,6.024225565803549,TRUE
Itm2b,1.7126350005128036e-9,0.22879897324051512,0.998,0.998,5.5292420991555864e-5,1.0632291806887263e-6,5.973373112541074,TRUE
C1qc,2.5202043689873066e-9,0.35130937229494386,0.937,0.824,8.136479805275519e-5,1.5087023440344726e-6,5.821396434906016,TRUE
Pmepa1,3.543235754956285e-9,0.45951078981113025,0.533,0.368,1.1439336634876365e-4,2.0479902663647326e-6,5.6886721117949035,TRUE
Isg15,3.826672210293744e-9,-0.7048881633297264,0.602,0.719,1.2354411230933353e-4,2.138089319631458e-6,5.669974155903293,TRUE
Timp2,4.51207414636759e-9,0.35479646798524156,0.789,0.611,1.4567231381547763e-4,2.4397221561746307e-6,5.612659629772278,TRUE
Psme1,4.865037094728705e-9,-0.25449426104174844,0.972,0.99,1.5706772260331623e-4,2.516711760399576e-6,5.59916652145448,TRUE
Ifi27l2a,4.954748126308674e-9,-0.7021525315462389,0.693,0.779,1.5996404325787554e-4,2.516711760399576e-6,5.59916652145448,TRUE
Plac8,5.441975787798144e-9,-0.8253018013517972,0.404,0.543,1.756941883090631e-4,2.682894063384485e-6,5.571396475518842,TRUE
Akap13,7.127153584731888e-9,0.2459010599351913,0.827,0.709,2.30100153483069e-4,3.413295668207883e-6,5.466826090417662,TRUE
Gng2,9.533023561342928e-9,0.2623039502048161,0.793,0.654,3.077736656779564e-4,4.438681692645282e-6,5.35274599804386,TRUE
Gpnmb,1.0394660522587529e-8,0.7294807827313665,0.665,0.526,3.3559161497173835e-4,4.7090621535030315e-6,5.327065577396466,TRUE
Magohb,1.0807734603732689e-8,-0.4333719825996968,0.398,0.543,3.4892771168150985e-4,4.767348616520193e-6,5.321723088749447,TRUE
Marcksl1,1.203852433174717e-8,-0.782006963670561,0.307,0.451,3.886637580504574e-4,5.096501792880578e-6,5.292727818673013,TRUE
Ndufb1-ps,1.2219407630536263e-8,-0.23155708918171047,0.957,0.96,3.9450357535186325e-4,5.096501792880578e-6,5.292727818673013,TRUE
Atox1,1.2466088384924454e-8,-0.2920124822186847,0.984,0.986,4.02467663507286e-4,5.096501792880578e-6,5.292727818673013,TRUE
Trem2,1.3984864428417713e-8,0.3436857265554827,0.809,0.658,4.5150134807146584e-4,5.581292798788992e-6,5.2532651934727985,TRUE
Cd52,1.7781107348726134e-8,-0.23131170720334193,0.996,0.992,5.740630507536233e-4,6.93132375300808e-6,5.159183815355599,TRUE
mt-Nd2,2.129886589919278e-8,0.19924876867429253,0.998,0.998,6.876338855554389e-4,8.113899777324303e-6,5.09077036099253,TRUE
Selenop,2.4448774258237208e-8,0.33668260540206263,0.732,0.545,7.893286769271883e-4,9.106896758146047e-6,5.040629586848075,TRUE
Lmna,2.5713249904009317e-8,0.3202553781877655,0.681,0.51,8.301522731509408e-4,9.369684671543568e-6,5.028275024663233,TRUE
Cd81,2.8913513743768362e-8,0.3155527176988224,0.734,0.549,9.334727912175616e-4,1.031166632708607e-5,4.986671148665693,TRUE
Ptms,3.662943447987172e-8,0.24261952010630816,0.963,0.917,0.0011825812921826585,1.2791303765658537e-5,4.893085187392022,TRUE
Tmem37,3.8921825455838784e-8,0.3313737791432434,0.413,0.265,0.0012565911348417552,1.331444159777081e-5,4.875677042975859,TRUE
Batf2,5.6433985428953683e-8,-0.46678940055704476,0.435,0.573,0.0018219712195737697,1.8853839879705643e-5,4.724600185578324,TRUE
Nfe2l2,5.736462438044313e-8,-0.33759167259459666,0.866,0.883,0.0018520168981226064,1.8853839879705643e-5,4.724600185578324,TRUE
Irf7,6.798271195889887e-8,-0.49079013809077165,0.514,0.642,0.00219482185559305,2.191396572798198e-5,4.659279021894803,TRUE
Dnajb1,7.251617791682892e-8,-0.16689983761310603,0.274,0.427,0.0023411848040448217,2.2934267438526156e-5,4.639515127452068,TRUE
Hsp90b1,8.5925320981721e-8,0.2731225974978311,0.98,0.96,0.0027740989878948623,2.667185611658532e-5,4.573946760345313,TRUE
Olfml3,9.308926483090012e-8,0.29338465796267543,0.559,0.415,0.00300538691506561,2.8370222856282684e-5,4.54713725268234,TRUE
Ccrl2,9.878256235832336e-8,-0.5458853263085903,0.541,0.674,0.0031891950257384697,2.9567737683039572e-5,4.529181903385913,TRUE
Gas7,1.0821777370486243e-7,0.21680177983216087,0.474,0.308,0.0034938108240614835,3.182361969896323e-5,4.497250424127527,TRUE
C1qb,1.2811858082583512e-7,0.3156091225525781,0.947,0.856,0.004136308381962087,3.702626985866635e-5,4.431490037920746,TRUE
Atp2b1,1.431195281453639e-7,0.27688507728893197,0.878,0.812,0.004620613966173074,4.066050052156932e-5,4.390827279598184,TRUE
Ifitm3,1.5155023167748233e-7,-0.640218969696642,0.907,0.927,0.004892799229707517,4.233808305629931e-5,4.373268809446461,TRUE
Lgals3,1.5840829357517868e-7,0.37502452561483857,0.976,0.958,0.0051142117580746434,4.335924480488824e-5,4.362918290582354,TRUE
Myof,1.6037902266454304e-7,0.25861779933566065,0.862,0.761,0.005177836746724772,4.335924480488824e-5,4.362918290582354,TRUE
Irgm1,1.794561114160737e-7,-0.3485962794969375,0.768,0.8,0.005793740557067939,4.774671967549567e-5,4.321056460221968,TRUE
C1qa,2.0522005505328276e-7,0.33848370422656515,0.923,0.796,0.006625529477395234,5.374841504379884e-5,4.269634337884564,TRUE
Dmxl2,2.2913314876777234e-7,0.21226670255014518,0.488,0.33,0.00739756370796753,5.9088151379159995e-5,4.228499597063634,TRUE
Psme2,2.6406963261680314e-7,-0.34231581635834685,0.953,0.957,0.00852548808903349,6.645238415289567e-5,4.177489432992549,TRUE
Ctss,2.656192422290902e-7,0.22811302785429177,1,1,0.008575517235366177,6.645238415289567e-5,4.177489432992549,TRUE
Tbrg1,2.787817859442673e-7,0.17214880111622644,0.6,0.441,0.00900046995921067,6.871971023526188e-5,4.162918680426699,TRUE
Serpina3g,3.0703810079341573e-7,-0.41638220779200674,0.703,0.83,0.009912725084115427,7.458800935506137e-5,4.127330983378284,TRUE
Rbm39,3.142855850691177e-7,-0.18965072924117377,0.953,0.951,0.010146710113956466,7.45893723484461e-5,4.127323047315872,TRUE
Cd93,3.1594352921725765e-7,0.2156051616004036,0.409,0.277,0.010200236840779163,7.45893723484461e-5,4.127323047315872,TRUE
Tppp3,3.7065586319099956e-7,0.5431399100307273,0.535,0.389,0.011966624543121421,8.629074415010464e-5,4.064035785746137,TRUE
Rps27a,3.7580742344810986e-7,-0.12856894987758238,0.998,0.998,0.012132942666022228,8.629156207996188e-5,4.064031669189448,TRUE
Ctsl,3.9303322420894504e-7,0.2988998605358635,0.844,0.741,0.01268907764358579,8.902733654311266e-5,4.050476619344646,TRUE
Abracl,4.241734759307403e-7,-0.2613567600312354,0.919,0.941,0.013694440670423951,9.479994404734759e-5,4.023191918990366,TRUE
Atp5l,4.374938436627536e-7,-0.19916616209386273,0.982,0.99,0.014124488742652,9.64904185194089e-5,4.01551580987636,TRUE
Vim,4.557949481123185e-7,0.31579895191455165,0.986,0.992,0.014715339899806203,9.922123273063226e-5,4.003395381565248,TRUE
Apobec1,6.809619273614915e-7,0.30849813452055597,0.742,0.63,0.021984855824865753,1.463369721337605e-4,3.834645935220378,TRUE
Dhrs3,7.356480021377411e-7,0.20303117438823737,0.472,0.32,0.02375039574901697,1.5608774445357993e-4,3.8066311951126726,TRUE
Ahnak,7.89625890440657e-7,0.34197627479730497,0.742,0.621,0.02549307187287661,1.6544636469457866e-4,3.7813427710271235,TRUE
Iqgap2,8.540563570995554e-7,0.20069076190465934,0.518,0.366,0.027573209488959145,1.7673694639139194e-4,3.752672652889137,TRUE
Pdlim1,8.909162022966341e-7,0.153323034710739,0.38,0.235,0.028763229591146834,1.821163095475144e-4,3.7396511589315464,TRUE
Il7r,1.0014399332770138e-6,0.29871081348396,0.51,0.352,0.03233148824584839,2.0224260435649767e-4,3.694127350783126,TRUE
Blnk,1.0202491606135068e-6,0.20580962388502128,0.449,0.304,0.03293874415040707,2.0349542067055933e-4,3.6914453594111634,TRUE
Gmfg,1.0340861042217896e-6,-0.24066630155517177,0.884,0.921,0.033385469874800476,2.0349542067055933e-4,3.6914453594111634,TRUE
Mrc1,1.0440643227340475e-6,0.31042012429489013,0.329,0.194,0.033707616659468725,2.0349542067055933e-4,3.6914453594111634,TRUE
Cd9,1.2274834786258973e-6,0.2533569736841086,0.89,0.781,0.0396293041074371,2.355727982721936e-4,3.6278748592258427,TRUE
Racgap1,1.2367501639394486e-6,0.032435788224408006,0.106,0.03,0.0399284790427851,2.355727982721936e-4,3.6278748592258427,TRUE
Cox8a,1.3726353156931782e-6,-0.19759542260800966,0.988,0.992,0.04431553116715426,2.5851812541178714e-4,3.5875090019303504,TRUE
Pla2g7,1.5110984644769348e-6,-0.31162792253057825,0.892,0.903,0.04878581392563784,2.814336940173598e-4,3.5506239088564313,TRUE
Zfp800,2.05019649265109e-6,-0.23521973702757626,0.465,0.581,0.06619059376524043,3.7764168801997325e-4,3.4229200697826108,TRUE
Il15ra,2.167219783993752e-6,-0.2952625868829783,0.309,0.429,0.06996869072623828,3.9485802194894857e-4,3.4035590344198865,TRUE
Apoe,2.277386172423395e-6,0.4033819343354388,0.945,0.881,0.07352541257668932,4.063160670127088e-4,3.391136003966978,TRUE
Ptp4a2,2.2785890883662226e-6,0.1623653369042548,0.927,0.899,0.0735642487179035,4.063160670127088e-4,3.391136003966978,TRUE
Rab7b,2.3226907132204025e-6,0.3722995601962942,0.526,0.377,0.0749880696763207,4.098204393157935e-4,3.387406385464589,TRUE
Crip1,2.3897764929267187e-6,0.41366757317367764,0.978,0.949,0.07715393407413912,4.138739258377759e-4,3.3831319333998437,TRUE
Cd84,2.395046581927232e-6,0.24574618682176408,0.809,0.7,0.07732407889752069,4.138739258377759e-4,3.3831319333998437,TRUE
Vamp8,2.512240227703816e-6,-0.2371236862007846,0.98,0.984,0.0811076757514177,4.296956193548098e-4,3.366839073823034,TRUE
Calr,2.582970559006062e-6,0.20114742519470719,0.982,0.97,0.08339120449751071,4.3733083343494556e-4,3.359189902214727,TRUE
Bst2,2.6530275426086076e-6,0.21366555529013675,0.957,0.927,0.0856529942131189,4.4470047669205483e-4,3.351932405013359,TRUE
Sin3b,2.7507588820387095e-6,-0.21946380320012615,0.758,0.8,0.08880825050661974,4.5651703347260244e-4,3.3405430135181833,TRUE
Calhm6,2.7831725687166025e-6,-0.479944177693171,0.841,0.909,0.0898547263810155,4.5736802545909505e-4,3.339734200140425,TRUE
Tpp1,2.8332455300715874e-6,0.22327987157514984,0.772,0.634,0.0914713319383612,4.610763259714558e-4,3.3362271761191504,TRUE
Plcb2,2.9276552510172027e-6,0.1513049448341196,0.372,0.243,0.09451934977909039,4.7185920497644574e-4,3.3261875683647615,TRUE
Fgl2,3.0342062099131194e-6,0.3074134287454209,0.947,0.881,0.09795934748704506,4.8437489991013055e-4,3.3148183698909977,TRUE
Ang,3.1423684036098337e-6,0.1214620458625183,0.25,0.134,0.10145136391054348,4.940747453152781e-4,3.3062073445532603,TRUE
Trim47,3.1539194456947116e-6,0.17811545264809503,0.378,0.245,0.10182428930425376,4.940747453152781e-4,3.3062073445532603,TRUE
Sash1,3.232341157388423e-6,0.2841657627245112,0.665,0.542,0.10435613426628525,5.016713192605995e-4,3.2995807270426205,TRUE
Oasl2,3.6346074139602114e-6,-0.3333776576756151,0.656,0.737,0.11734330035970543,5.544335887837892e-4,3.256150467101921,TRUE
Tmed3,3.6529895904831655e-6,0.23813656513915693,0.801,0.696,0.117936768928749,5.544335887837892e-4,3.256150467101921,TRUE
Luc7l,3.6715265693235056e-6,-0.1531687329686075,0.26,0.387,0.11853523529060939,5.544335887837892e-4,3.256150467101921,TRUE
Spon1,4.0004977677628075e-6,-0.04652682168816511,0.022,0.087,0.12915607043222224,5.987173534217873e-4,3.222778153936989,TRUE
Gpr141,4.3323110010891456e-6,-0.3491777100214333,0.522,0.638,0.13986866067016307,6.426389115066926e-4,3.1920329816462907,TRUE
Adgre1,4.383854993449543e-6,0.2720248122632414,0.762,0.577,0.14153275846351848,6.445805035105371e-4,3.1907228346378975,TRUE
Cfb,4.500459175383751e-6,-0.3071151386954094,0.868,0.887,0.1452973244772644,6.559712756328908e-4,3.183115177556136,TRUE
Txnip,4.6447847999081815e-6,0.20532472596401496,0.78,0.69,0.14995687726503565,6.666230288777419e-4,3.1761196874625046,TRUE
Ccdc50,4.653078056240055e-6,-0.21406615425101916,0.6,0.713,0.15022462504571016,6.666230288777419e-4,3.1761196874625046,TRUE
Syngr2,4.995417142487629e-6,-0.2981963113946915,0.884,0.901,0.1612770424452131,7.096032384947258e-4,3.1489844111340815,TRUE
Ifi206,5.29432670136595e-6,-0.15267795343450924,0.219,0.342,0.1709273375535997,7.457437325066895e-4,3.1274103879145394,TRUE
Syngr1,5.570690016041628e-6,0.3178820064128135,0.423,0.289,0.17984972716790398,7.781325504074148e-4,3.108946417139842,TRUE
Fuca2,6.120356709184605e-6,0.2092780445220257,0.671,0.555,0.197595716356025,8.478464393334906e-4,3.0716827993814744,TRUE
Cox5b,6.383954656807951e-6,-0.2060601037562395,0.951,0.957,0.2061059760950447,8.740024692971071e-4,3.0584873403626305,TRUE
Dhrs7,6.413453270704222e-6,0.19038149251261693,0.618,0.494,0.2070583388446858,8.740024692971071e-4,3.0584873403626305,TRUE
Pdia6,6.467693579199358e-6,0.24064816477938544,0.894,0.854,0.20880948720445128,8.742861272140294e-4,3.0583464127498843,TRUE
Fpr2,6.845402027314926e-6,-0.30928692992909257,0.419,0.545,0.2210038044518624,9.179410302548224e-4,3.037185217554237,TRUE
Gpcpd1,7.095506995090994e-6,0.13508298197745516,0.433,0.308,0.22907844333651275,9.439276845374225e-4,3.0250612762626905,TRUE
Sarnp,7.2056214608843215e-6,-0.1892026226541459,0.689,0.767,0.23263348886465032,9.510285584830157e-4,3.0218064414165697,TRUE
Tnfaip2,7.334612803356058e-6,-0.3539798926142068,0.821,0.852,0.23679797435635033,9.604904672644863e-4,3.0175069410937767,TRUE
Nenf,7.55523967938078e-6,0.2182670720347193,0.675,0.557,0.24392091304880847,9.81712616323881e-4,3.0080156277029455,TRUE
Fau,9.199420445256443e-6,-0.13400896889365388,1,1,0.29700328907510426,0.0011861591192568344,2.925857047919543,TRUE
Ass1,1.0165004345014486e-5,-0.4146171544448847,0.868,0.84,0.3281771652787927,0.001300654983443762,2.8858378907237157,TRUE
Fam49b,1.0344179608504235e-5,-0.3656402085984516,0.919,0.943,0.33396183866055923,0.0013135540802859697,2.881552042187935,TRUE
Cfp,1.0466555488260119e-5,-0.5034481192442526,0.431,0.53,0.3379127439384779,0.0013191007751444822,2.879722024455664,TRUE
S100a10,1.0553574148857049e-5,0.3319113395279474,0.878,0.808,0.34072214139584983,0.001320141864799566,2.879379396226658,TRUE
Cd300c2,1.0687859682077154e-5,0.1894005594438961,0.961,0.883,0.34505754983586095,0.0013270363258590908,2.877117188737504,TRUE
mt-Nd1,1.1018743271858154e-5,0.2025876843507204,1,0.994,0.35574012653194054,0.0013580601082565176,2.867081007591296,TRUE
Fabp5,1.1722725533755898e-5,0.566250413716558,0.821,0.747,0.3784681938573092,0.0014342797474220172,2.843366133945254,TRUE
Atp5e,1.2406815560190595e-5,-0.1480239469911635,0.986,0.986,0.40055404036075337,0.001506978568260252,2.8218929240307533,TRUE
Hpgds,1.2953943134470515e-5,0.4159991141950029,0.528,0.417,0.4182180540963806,0.0015621150706474445,2.806286977688858,TRUE
Pdia3,1.388744914559392e-5,0.179425859996178,0.959,0.951,0.44835629566549967,0.0016627244469888949,2.779179717748506,TRUE
Entpd1,1.580773735322592e-5,0.2302404660280375,0.778,0.678,0.5103528004488989,0.0018792148476225027,2.726023564868675,TRUE
Tmem154,1.6496341950408564e-5,0.08743272860989484,0.152,0.069,0.5325843998689405,0.0019472653786813264,2.7105748576001045,TRUE
Dock10,1.8014307938290963e-5,0.22135050976425608,0.738,0.648,0.5815919317877237,0.002111579228403029,2.6753926188032606,TRUE
Ppfia4,1.8487057337623474e-5,0.15787046023965323,0.496,0.338,0.5968546461451738,0.0021519448270364214,2.6671688675878036,TRUE
Zfhx3,1.9743378364928148e-5,0.2373471676097315,0.528,0.417,0.6374149705117053,0.0022823345389856938,2.6416206974344836,TRUE
Dock2,2.0480096743617976e-5,0.14355000567277665,0.715,0.611,0.6611999233677064,0.00235128343572962,2.6286950156416173,TRUE
Ypel3,2.1530333532719512e-5,0.1913213302328748,0.756,0.646,0.6951068181038494,0.0024550438821458807,2.609940740769735,TRUE
Slc29a1,2.260280842859171e-5,0.1542910265773279,0.461,0.344,0.7297316701170834,0.002559920776216583,2.5917734749164194,TRUE
Ezr,2.3546584575400173e-5,0.18176914701219826,0.606,0.51,0.7602014830167946,0.0026489117493480384,2.5769325103360674,TRUE
Iigp1,2.4909851574905022e-5,-0.5793529243031355,0.795,0.802,0.8042145580958087,0.002783592880657053,2.5553942829311938,TRUE
Sh3d19,2.747141941472832e-5,-0.016107833726167184,0.002,0.04,0.8869147758045037,0.003049509484964742,2.5157700115073154,TRUE
Adcy7,2.8057815318569778e-5,0.14865221234870485,0.53,0.397,0.9058465675600252,0.003094112502433333,2.5094638993316343,TRUE
Leprot,3.074059455052041e-5,0.16078244528672936,0.762,0.63,0.9924600950635514,0.0033678029140903473,2.4726533316104704,TRUE
C3,3.254672694064416e-5,-0.2590123959004247,0.898,0.915,1,0.003521322246584848,2.4532942295421982,TRUE
Plaat3,3.256204201292515e-5,-0.23643541346746755,0.862,0.899,1,0.003521322246584848,2.4532942295421982,TRUE
AU020206,3.3678474973836736e-5,0.18255742373352546,0.768,0.646,1,0.0036111396452812874,2.4423557167788124,TRUE
Frmd4b,3.382346523739184e-5,0.20717088340584766,0.541,0.407,1,0.0036111396452812874,2.4423557167788124,TRUE
Arl4c,3.4323804053847425e-5,0.1916065384078658,0.587,0.466,1,0.0036413645794341172,2.4387358366085405,TRUE
Socs1,3.710580346770095e-5,-0.3985333943451326,0.622,0.692,1,0.003911745142928323,2.4076294480115887,TRUE
Ms4a4c,3.739066583924147e-5,-0.38141524485082057,0.313,0.411,1,0.003917139629983534,2.4070309473567675,TRUE
Eps8,3.9320863226531464e-5,0.14613810599345634,0.305,0.196,1,0.0040916859559769515,2.3880977065386024,TRUE
mt-Nd3,3.954499014844685e-5,0.19776682308976534,0.965,0.911,1,0.0040916859559769515,2.3880977065386024,TRUE
Samhd1,4.064891831581125e-5,-0.3144078274960038,0.957,0.962,1,0.004180105330120419,2.3788127747527783,TRUE
Ccr2,4.1455308902079766e-5,-0.17550941398340592,0.226,0.342,1,0.004237035901321104,2.372937856112394,TRUE
Sh3bp5,4.215856887450315e-5,0.09239992167399394,0.209,0.117,1,0.004279998297360817,2.368556403754807,TRUE
Il1rn,4.238633321571981e-5,-0.2830465292253861,0.384,0.484,1,0.004279998297360817,2.368556403754807,TRUE
Anxa5,4.356500645313194e-5,0.1954507749713401,0.974,0.962,1,0.004360589135375002,2.3604548316126355,TRUE
Abcg1,4.370474732985326e-5,0.26781995718457263,0.697,0.607,1,0.004360589135375002,2.3604548316126355,TRUE
Gpr157,4.403550859331923e-5,0.0898624962214355,0.15,0.071,1,0.004367592870066372,2.3597578516504583,TRUE
Cacybp,4.483882976188182e-5,-0.21481752895545547,0.709,0.769,1,0.0044211086145215465,2.354468815537933,TRUE
Cyth1,4.586133752111134e-5,0.15319625080317717,0.498,0.375,1,0.004495483856893967,2.3472235575303078,TRUE
Banp,4.6547938720507685e-5,-0.07213705674221235,0.106,0.2,1,0.004536259004843894,2.3433021566805836,TRUE
Tpst2,4.892704422206705e-5,0.11761435788423497,0.551,0.433,1,0.004740549799134612,2.3241712868315094,TRUE
Upp1,5.008702215709287e-5,-0.6288852815914052,0.307,0.403,1,0.0048166004335844,2.3172593795703316,TRUE
Tma16,5.028666482980969e-5,-0.3191732183365604,0.429,0.524,1,0.0048166004335844,2.3172593795703316,TRUE
Ptgs2,5.101478096232325e-5,-0.4549821913951182,0.209,0.312,1,0.004858578173241263,2.313490805194266,TRUE
Slamf8,5.267616207462431e-5,-0.27267631736085507,0.841,0.885,1,0.004988462309010467,2.3020333048029045,TRUE
Dnajc14,5.333021926313773e-5,0.11870578585339409,0.396,0.275,1,0.0050212019737420595,2.2991923091340203,TRUE
Acvrl1,5.3620997094608565e-5,0.14493243651207532,0.596,0.484,1,0.0050212019737420595,2.2991923091340203,TRUE
Sema4d,5.4771044053156455e-5,-0.2336489616380799,0.72,0.757,1,0.005100401335661159,2.292395649195131,TRUE
Fam102b,5.621116024309397e-5,0.2013014924219516,0.606,0.47,1,0.00520558822096542,2.2835301889804223,TRUE
Cdkn1a,5.668106438688822e-5,-0.35525902451007596,0.545,0.642,1,0.005220263743148463,2.282307554603013,TRUE
Ndufc2,5.779519726587082e-5,-0.1692970786033796,0.923,0.945,1,0.005265996586370839,2.278519426756876,TRUE
Cyba,5.7805952266569296e-5,-0.11754964112225341,0.998,0.998,1,0.005265996586370839,2.278519426756876,TRUE
Gbp5,6.250621135986559e-5,-0.4390049873040378,0.589,0.676,1,0.005663400620616579,2.246922715934981,TRUE
Psmb8,6.36160417391195e-5,-0.1776395744594259,0.978,0.984,1,0.005732968234575919,2.241620464572196,TRUE
Rab20,6.613922859373263e-5,-0.21890115838711277,0.474,0.589,1,0.005907430446793301,2.2286013829840727,TRUE
Nfil3,6.625682639286127e-5,-0.17309029646556148,0.215,0.316,1,0.005907430446793301,2.2286013829840727,TRUE
Clec4e,6.787946955680252e-5,-0.25240692161730394,0.439,0.555,1,0.006020082903233459,2.22039752798322,TRUE
Tmem205,7.028091300852089e-5,0.19903329651777624,0.65,0.54,1,0.006200256125520142,2.2075903699206867,TRUE
Icam1,7.092309314262802e-5,-0.2328966355410087,0.679,0.779,1,0.006224151242181837,2.2059198628617214,TRUE
Mmp13,7.222056350044732e-5,0.20987390530278133,0.045,0.006,1,0.006305005653096343,2.200314519700345,TRUE
Ifitm2,7.331112958078065e-5,-0.3174816744026212,0.852,0.887,1,0.006367052611570183,2.196061561504116,TRUE
Ms4a6c,8.286422677189493e-5,-0.3734521087314313,0.939,0.947,1,0.00715964004716754,2.1451088114153944,TRUE
Ndufa11,8.552470345609699e-5,-0.20847856441715007,0.811,0.826,1,0.0073516157914415275,2.1336171980333924,TRUE
Vat1,8.879091847242688e-5,0.20101663224088595,0.571,0.451,1,0.00759343558895316,2.1195616865895195,TRUE
Rabac1,9.233155381581415e-5,0.17121048073520662,0.923,0.883,1,0.007834450637657621,2.105991451447927,TRUE
Nsmce1,9.254392233959008e-5,0.11339806737662939,0.445,0.32,1,0.007834450637657621,2.105991451447927,TRUE
Gsdmd,9.412180885356541e-5,-0.2695682243035916,0.606,0.68,1,0.007927988743735997,2.1008369751394325,TRUE
Nrp1,9.60226830618927e-5,0.15581513945799785,0.626,0.508,1,0.008043804910332837,2.094538471068007,TRUE
Slc25a3,9.64565557198962e-5,-0.16128142791864208,0.965,0.962,1,0.008043804910332837,2.094538471068007,TRUE
Tgfbr2,1.0048310411915508e-4,0.1167496262283817,0.612,0.498,1,0.008290125619678174,2.0814388885667703,TRUE
Krtcap2,1.0059144134663743e-4,0.1708440981021424,0.902,0.852,1,0.008290125619678174,2.0814388885667703,TRUE
Ccnd2,1.0089402376890273e-4,-0.06489318337876795,0.215,0.328,1,0.008290125619678174,2.0814388885667703,TRUE
Cd40,1.0254503191902762e-4,-0.26099903904686794,0.535,0.642,1,0.008367665363109336,2.0773956962900217,TRUE
Rpl19,1.0283612127434215e-4,-0.10273615634920219,0.996,0.996,1,0.008367665363109336,2.0773956962900217,TRUE
Tra2a,1.0338094345083685e-4,-0.16670287693332397,0.636,0.694,1,0.008371359295279842,2.0772040179315803,TRUE
Ifi213,1.074546194663509e-4,-0.20108539593307745,0.228,0.322,1,0.008659395824495066,2.0625124081259907,TRUE
Oxct1,1.1829676212326079e-4,0.19143598126376438,0.693,0.595,1,0.0094875135249286955,2.02284759198735,TRUE
Chd3,1.1905228767977208e-4,0.11669022133046525,0.354,0.245,1,0.009502640219468284,2.022155713296336,TRUE
