gene,mean_est_amb,n,total_umis
Mnat1,1.979638949569674e-5,0,7841
Mnd1,1.368485834772749e-6,0,499
Mndal,2.0960643587606212e-4,0,71853
Mns1,1.1111461134641454e-5,0,3648
Mnt,1.502498446979774e-5,0,6382
Mnx1,0,0,0
Moap1,1.0845368973996558e-6,0,270
Mob1a,1.2371324449808358e-4,0,40468
Mob1b,3.362794343301522e-5,0,10793
Mob2,2.9260815077375244e-5,0,10398
Mob3a,3.736782057558416e-5,0,13851
Mob3b,1.6125193414263574e-5,0,6725
Mob3c,1.3503081701260082e-5,0,5128
Mob4,6.745098190240555e-5,0,21186
Mobp,1.282678528885443e-7,0,3
Mocos,6.272594922291013e-6,0,2309
Mocs1,7.088336745790073e-6,0,2401
Mocs2,3.866201560418651e-5,0,14994
Mocs3,5.6015648689128016e-6,0,2128
Mog,3.0372819744644937e-8,0,1
Mogat1,4.8648066576831e-7,0,295
Mogat2,1.1222157884610816e-7,0,2
Mogs,2.4849559641529294e-5,0,8268
Mok,4.0348228095366256e-7,0,99
Mon1a,9.261511484569802e-6,0,2823
Mon1b,6.101137008107398e-6,0,2418
Mon2,3.2336312720116156e-5,0,11023
Morc1,5.704201093741578e-7,0,177
Morc2a,1.0658341699775505e-5,0,3264
Morc2b,1.1222157884610816e-7,0,11
Morc3,5.7486373153295046e-05,0,20765
Morc4,6.662614744439776e-7,0,222
Morf4l1,3.195408375217729e-4,0,132732
Morf4l2,6.761802278845888e-5,0,20841
Morn1,9.468304709571536e-7,0,257
Morn2,5.758253078988576e-6,0,2016
Morn3,2.755634877022126e-7,0,120
Morn4,6.122970461840299e-8,0,54
Morn5,1.282678528885443e-7,0,67
Morrbid,2.1256964010484436e-5,0,7586
Mos,3.085688487375806e-8,0,4
Mosmo,2.4942416239841954e-5,0,8012
Mospd1,1.619624156833763e-5,0,5073
Mospd2,3.7483030049557406e-5,0,12739
Mospd3,1.847536684482806e-5,0,6894
Mov10,1.0109284507540083e-5,0,3547
Mov10l1,6.122970461840299e-8,0,2
Moxd1,6.122970461840299e-8,0,32
Moxd2,0,0,0
Mpc1,2.0504211642713915e-4,0,68700
Mpc2,1.5114542875064202e-4,0,51362
Mpdu1,2.7996084974758588e-5,0,10206
Mpdz,2.7375251656032033e-6,0,1314
Mpeg1,3.249789033253768e-4,0,120315
Mpg,1.81297631916704e-5,0,6453
Mphosph10,4.106610258920951e-5,0,15547
Mphosph6,2.435222798063141e-5,0,7789
Mphosph8,5.4569600116336194e-5,0,18439
Mphosph9,9.43545726542346e-6,0,3591
Mpi,3.83847781158682e-6,0,1406
Mpig6b,6.493847982375459e-7,0,116
Mpl,3.727652180832514e-7,0,94
Mplkip,5.8578992322689955e-5,0,18749
Mpnd,3.392234945173986e-5,0,10860
Mpo,6.122970461840299e-8,0,27
Mpp1,6.530929556022901e-5,0,23199
Mpp2,3.727652180832514e-7,0,174
Mpp3,7.775602218706338e-7,0,150
