"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dab2",1.37730699748226e-20,-0.292973587604606,0.862,0.911,1.96514162400769e-16
"Dock8",2.54846233829995e-20,-0.289742803192851,0.507,0.641,3.63614606428637e-16
"Cd302",1.32527764502023e-19,0.256699202724602,0.432,0.285,1.89090614391487e-15
"Smpdl3a",1.44689882010382e-19,-0.28202313443185,0.666,0.761,2.06443523652413e-15
"Syngr1",2.34338192189627e-19,-0.275052608456578,0.84,0.908,3.34353732616159e-15
"Atf3",3.69709267412293e-19,-0.315280491994402,0.425,0.559,5.27501182743859e-15
"Hip1",6.0704791337717e-19,-0.262557503347226,0.357,0.499,8.66135962806547e-15
"N4bp1",9.90916218416855e-19,0.268970087101682,0.492,0.347,1.41383926043717e-14
"Ybx3",1.74427742843539e-18,0.290788018481454,0.754,0.645,2.48873503489162e-14
"Ms4a6b",7.4806981350427e-18,-0.276729005039205,0.49,0.622,1.06734600990789e-13
"Ahnak",2.80753496266543e-17,0.287888021725653,0.948,0.931,4.00579088473103e-13
"Nupr1",4.01009956139101e-17,0.291106980859365,0.446,0.315,5.72161005419269e-13
"Slc15a3",4.31729077859624e-17,-0.254664284159791,0.561,0.672,6.15991048290111e-13
"Gatm",5.08310782137341e-17,-0.317328797863364,0.391,0.521,7.25257823953559e-13
"Gch1",5.87159091460104e-17,0.255494471317509,0.565,0.433,8.37758591695276e-13
"Prdx5",7.69778420901163e-17,0.294966040509208,0.993,0.993,1.09831985094178e-12
"Cttnbp2nl",1.23028456749147e-16,-0.266457897847631,0.466,0.584,1.75537002089684e-12
"Uchl1",1.32597594734616e-16,0.336931403034474,0.47,0.348,1.8919024816735e-12
"Picalm",1.84316489879102e-16,-0.266891816241746,0.399,0.517,2.62982767759502e-12
"Slamf9",2.08462114121915e-16,-0.292054827001634,0.494,0.604,2.97433744429149e-12
"Asph",2.22666704499959e-16,-0.262626778756756,0.39,0.513,3.17700853980541e-12
"Fam20c",3.97856390850636e-16,0.287669653843307,0.573,0.447,5.67661498465687e-12
"Pmp22",4.42672836948733e-16,-0.28212902733262,0.649,0.717,6.31605603758452e-12
"Lmo4",4.44153213806051e-16,0.267258859129776,0.576,0.448,6.33717805458474e-12
"Tnfrsf1b",5.11016083111368e-16,0.295641303025408,0.517,0.392,7.291177473833e-12
"Mapkapk2",7.7883142683098e-16,0.278997071963898,0.66,0.551,1.11123667980244e-11
"Cd84",1.34906219140099e-15,-0.274879226365383,0.448,0.562,1.92484193469093e-11
"Hspd1",2.39378903340656e-15,0.254360643636579,0.861,0.821,3.41545819286448e-11
"Arl4c",3.99787620927608e-15,-0.254358725349795,0.386,0.505,5.70416977539511e-11
"Srm",2.21130874598363e-14,0.253539946620995,0.499,0.387,3.15509531876945e-10
"Sqstm1",4.03626919362884e-14,0.330453216067091,0.802,0.739,5.75894888546963e-10
"Pcdh7",1.70877645513006e-13,0.259743329089375,0.748,0.65,2.43808224617956e-09
"Ms4a4c",8.60208059524353e-12,-0.274816639545617,0.56,0.648,1.22734485932935e-07
"Ifit1",3.13944811398125e-08,0.313172498991519,0.807,0.766,0.000447936456902845
"Cxcl2",2.01933407412733e-05,0.612841187839995,0.797,0.751,0.288118585696488
"Hist1h1b",0.00108206972740239,0.309516533681888,0.22,0.177,1
"Ccl5",0.00149192914826952,0.460537239567435,0.409,0.365,1
"Ly6a",0.00546040602786685,0.256413018122351,0.394,0.355,1
"Fabp5",0.0116715096370545,-0.29220231840477,0.825,0.849,1
"Cd74",0.113345715248644,0.371532843922934,0.345,0.326,1
"Ccl3",0.131709409884988,0.263433641768117,0.664,0.653,1
